Registration No.,Registration Type,Supplier Name,Street Address,"Municipality, Province, State, Postal Code/Zip"
378439,Gaming Related (GR),Gaming Advisory Services (2019) Inc.,6761 OLD MILL RD,CAMLACHIE ON N0N 1E0
380133,Gaming Related (GR),Jarden Corp./United States Playing Card,300 Gap Way,"Erlanger, Kentucky"
380481,Gaming Related (GR),"Light & Wonder, Inc.",6601 BERMUDA RD,LAS VEGAS NV 89119
380485,Gaming Related (GR),"SG Gaming, Inc.",6601 BERMUDA RD,LAS VEGAS NV 89119
380489,Gaming Related (GR),Bally Gaming Canada Ltd.,6601 SOUTH BERMUDA ROAD,"LAS VEGAS , NV  89110"
383806,Gaming Related (GR),"IGT International Game Technology, PLC",6355 SOUTH BUFFALO DRIVE,"LAS VEGAS, NEVADA  89113"
384812,Gaming Related (GR),R2 Gaming Inc.,2406 INDUSTRIAL STREET,"BURLINGTON, ONTARIO  L7P 1A5"
384815,Gaming Related (GR),Northeastern Protection Service Inc.,202 BROWNLOW AVE. UNIT 130,"DARTMOUTH, NS  B3B 1T5"
384818,Gaming Related (GR),"Ainsworth Game Technology, Inc.",5800 RAFAEL RIVERIA WAY,LAS VEGAS NV 89118
386961,Gaming Related (GR),MNP LLP,330 5 AVENUE SW SUITE 2000,CALGARY AB T3P 0L4
386964,Gaming Related (GR),"Aristocrat Technologies, Inc.",10220 Aristocrat Way,"LAS VEGAS, NEVADA  89135"
386985,Gaming Related (GR),"Aristocrat Technologies Canada, Inc.",10220 ARISTOCRAT WA,LAS VEGAS NV 89135
366495,Gaming Related (GR),NRT Technology Corporation,10 COMPASS COURT,"SCARBOROUGH, ONTARIO  EXT.222  M1S 5R3"
292187,Non-Gaming Exempt (NGE),VitalSine Inc. formerly Power Var Canada,900 WINDMILL ROAD UNIT 303,"DARTMOUTH, NS  B3B 1P7"
292190,Non-Gaming Exempt (NGE),AMEX Bank of Canada,101 MCNABB STREET,"MARKHAM, ONTARIO  L3R 4H8"
292193,Non-Gaming Exempt (NGE),McFadgen's Bakery Ltd.,125 OCEAN AVENUE,"GLACE BAY, N.S.  B1A 3V6"
292206,Non-Gaming Exempt (NGE),Scotsburn Cooperative Services Ltd.,1120 PRINCE STREET,"SYDNEY, N.S.  B1P 6J9"
292221,Non-Gaming Exempt (NGE),Mike Kennedy Trucking & Paving Ltd.,106 OCEAN VIEW CRESCENT,"DOMINION, NOVA SCOTIA  B1G 1R6"
292241,Non-Gaming Exempt (NGE),Kara Holm / Marketing Consultant,6181 SHIRLEY STREET,"HALIFAX, NS  B3H 2N3"
292242,Non-Gaming Exempt (NGE),Charter Telecom Inc.,1979 IMPALA ROAD,"VICTORIA, BRITISH COLUMBIA  V9C 4C1"
292276,Non-Gaming Exempt (NGE),Fs Strategy Inc.,41 STEEN DRIVE,MISSISSAUGA ONTARIO  L5N 2V3
292278,Non-Gaming Exempt (NGE),Fox Fabrication Ltd.,565 GARDINER ROAD,GARDINER MINES  B1H 5L1
292279,Non-Gaming Exempt (NGE),EMCO/Sumner,64 BROOKLAND STREET,"SYDNEY, NS  B1P 5B2"
292280,Non-Gaming Exempt (NGE),Atlantis Limo & Taxi Service,96 LAKESHORE PARK TERRACE,"DARTMOUTH, NS  B3A 4Z4"
292281,Non-Gaming Exempt (NGE),Trade Centre Ltd. Scotiabank Centre,1800 ARGYLE STREET,"HALIFAX, NS  B3J 2V9"
